gr_year,squirrel_id,N
KL_1996,3674,30
KL_1996,4573,44
KL_1996,4906,32
KL_1996,4996,30
KL_1996,4227,22
KL_1996,4245,24
KL_1996,4187,22
KL_1996,4569,28
KL_1996,5020,33
KL_1996,4453,40
KL_1996,5501,30
KL_1996,4430,27
KL_1996,4472,24
KL_1996,3618,22
KL_1996,4429,48
KL_1996,4712,28
KL_1996,3215,29
KL_1996,3441,32
KL_1996,4774,22
KL_1996,3248,36
KL_1996,4608,36
SU_1996,3491,28
SU_1996,3501,24
SU_1996,3703,162
SU_1996,3244,30
SU_1996,3526,38
SU_1996,3334,22
SU_1996,3721,27
SU_1996,4254,22
SU_1996,4244,52
SU_1996,4235,32
SU_1996,3609,38
SU_1996,5228,38
SU_1996,3211,29
SU_1996,4285,24
SU_1996,3604,105
KL_1997,4154,33
KL_1997,4429,44
KL_1997,4430,27
KL_1997,4472,23
KL_1997,4573,22
KL_1997,4608,36
KL_1997,4705,32
KL_1997,3618,24
KL_1997,4108,26
KL_1997,4467,25
KL_1997,5020,28
KL_1997,4227,44
KL_1997,4712,34
KL_1997,4453,29
KL_1997,4569,33
KL_1997,4697,43
KL_1997,5418,24
KL_1997,4713,26
KL_1997,4996,38
KL_1997,4704,43
KL_1997,4682,30
KL_1997,6041,22
SU_1997,3717,166
SU_1997,4370,22
SU_1997,3491,22
SU_1997,3501,29
SU_1997,4594,39
SU_1997,3526,25
SU_1997,3609,36
SU_1997,3721,22
SU_1997,4244,231
SU_1997,5228,38
SU_1997,3399,28
SU_1997,3604,229
SU_1997,4429,24
SU_1998,3709,22
SU_1998,4244,23
SU_1998,5230,25
SU_1998,4235,22
SU_1998,4312,24
SU_1998,5378,23
SU_1998,4286,23
SU_1998,4255,24
SU_1998,4899,23
SU_1998,5001,22
SU_1998,3717,25
SU_1998,4257,23
SU_1998,4322,26
KL_1999,4704,23
KL_1999,4774,25
KL_1999,4842,27
KL_1999,5461,34
KL_1999,4425,35
KL_1999,4429,26
KL_1999,4465,27
KL_1999,4467,26
KL_1999,4573,33
KL_1999,4608,29
KL_1999,4705,30
KL_1999,4783,25
KL_1999,4906,33
KL_1999,4909,22
KL_1999,4921,23
KL_1999,5194,24
KL_1999,5231,31
KL_1999,5348,28
KL_1999,5674,28
KL_1999,5717,23
KL_1999,5755,30
KL_1999,5763,26
KL_1999,6532,23
KL_1999,4588,28
KL_1999,4884,31
KL_1999,4453,28
